,content,date
0,Sustainability Faceoff: Microsoft vs. Apple - Fast Company,2010
1,"NEW YORK, US: Coca-Cola retains the number one spot; Google gains on Microsoft, while HP enters the top 10 in Interbrand's 11th annual ranking of the world's top brands.",2010
2,"The rankings were released yesterday, 15 September 2010.",2010
3,"IBM, Microsoft and Google lead Interbrand's 11th annual ranking of the ""Best Global Brands.""",2010
4,"Google (#4) sees a 36% increase in value over last year, bringing the brand closer than ever to rival Microsoft (#3).",2010
5,"HP (#10) enters the top 10 for the first time, having increased brand value under a new business model and brand platform.",2010
6,"For the 11th year straight, Coca-Cola (#1) retains its top spot as the number one ranked brand on the list.",2010
7,"Interbrand, the leading brand consultancy, publishes the ranking of the top 100 brands based on a unique methodology analyzing the many ways a brand touches and benefits an organization, from attracting top talent to delivering on customer expectation.",2010
8,"Three key aspects contribute to a brand's value; the financial performance of the branded products or services, the role of brand in the purchase decision process and the strength of the brand to continue to secure earnings for the company.",2010
9,"Prominent brands faced crises

A number of prominent brands faced extraordinary crises in 2010 resulting in stalled growth, value loss and in the case of BP, failure to make the ranking this year.",2010
10,"BP's environmental disaster and inability to make good on its brand promise of ""Beyond Petroleum"" led to it falling off of the list and helped competitor Shell emerge as an industry leader, now ranked number 81, up from number 92 in 2009.",2010
11,"Although the Toyota (#11) recall caused the brand to lose -16% of its brand value, its long-standing reputation for reliability, efficiency and innovation helped it weather the crisis better than expected.",2010
12,"Goldman Sachs (#37) was once the envy of Wall Street, but now faces the dichotomy of strong economic results and an angry public that will continue to lash out until the company begins to demonstrate that it is making sincere efforts to better align its ethics with its brand.",2010
13,"Technology brands continue to lead the pack, with IBM (#2), Microsoft (#3), Google (#4), Intel (#7), and HP (#10) earning top rankings.",2010
14,Apple (#17) increased brand value 37% through carefully controlled messaging and an endless wave of buzz surrounding new product launches.,2010
15,"Despite a challenging year, HP made smart additions to its product portfolio and swiftly expanded the HP brand to protect its ranking on the list.",2010
16,"With 32% brand value growth, BlackBerry (#54) remains the most popular smartphone for business users, despite pressure from Apple as it edges into the corporate world.",2010
17,"Brands faced profound change in customer relations

""2010 was the beginning of a long road back towards economic recovery,"" said Jez Frampton, group chief executive at Interbrand.",2010
18,"""From real-time customer feedback through social media to increased transparency about corporate citizenship, brands were faced with a profound change in the way they relate to customers and demonstrate their relevance and value.",2010
19,"Despite this new paradigm of brand management, the advantages of building a solid brand remain the same.""",2010
20,"During a difficult year for the auto industry, Mercedes Benz (#12) and BMW (#15) were able to sustain and build their value through innovative design and a focus on delivering premium value vehicles with luxury features.",2010
21,"Using customer feedback, largely drawn from YouTube, Flickr, Twitter and Facebook to launch the 2009 Fiesta, Ford (#50) stands out as one of the best example of how to use social media.",2010
22,Award-winning products like the Q5 and rich heritage help Audi (#63) lead industry growth this year with a 9% increase in its brand value.,2010
23,"Luxury brands weather the storm

Despite the economic downturn, luxury brands Cartier (#77), Armani (#95), Louis Vuitton (#16), Gucci (#44), Tiffany & Co (#76) and Hermes (#69) all saw the value of their brands increase in 2010 by continuing to invest in their heritage and legendary status.",2010
24,"Outstanding customer service and a focus on unique in-store and online experiences allowed them to stay strong, even while consumers cut back spending.",2010
25,"In the financial sector, legacy brands Citi (#40) and UBS (#86) lost double-digits in brand value, while Santander (#68), Barclays (#74) and Credit Suisse (#80) made their debut on the list for the first time.",2010
26,"Their ability to stay true to brand promises in unsure times, and avoidance of the subprime mortgage crisis, helped them stay the course.",2010
27,"""For much of the emerging world, whether BRICS or CIVETS, gaining a place in the Top 100 remains a dream"", comments Jeremy Sampson, executive chairman of Interbrand Sampson, the Johannesburg-based Africa arm of Interbrand.",2010
28,"According to the International Monetary Fund (IMF), emerging markets now represent about one third of the world's GDP and are growing much faster that mature economies.",2010
