,Sentence,cleaned_text,Year,Company
0,"Foreword Enabling sustainability for our company, our customers, and the world",foreword enabling sustainability company customers world,2022,MSFT
1,"Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency.",extreme weather caused devastating droughts wildfires famine floods heat waves alarming frequency,2022,MSFT
2,"We felt the effects of climate change like never before, and as the planet warms, well continue to see and feel the negative impacts on ecosystems and communities around the world.",felt effects climate change like never planet warms well continue see feel negative impacts ecosystems communities around world,2022,MSFT
3,"The most recent report from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action.",recent report intergovernmental panel climate change ipcc underscores severity climate crisis urgent need global collective action,2022,MSFT
4,"Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress.",meaningful climate action requires enduring commitment government business private sector playing increasingly important role transition pledges progress,2022,MSFT
5,"As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future.",reflect seriousness climate crisis expanded ambition meet urgent climate need investing broad range initiatives technologies approaches support net zero future,2022,MSFT
6,As we look toward 2030and beyondwe remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.,look toward 2030and beyondwe remain optimistic collective ability decarbonize global economy continuing grow prosper global community,2022,MSFT
7,Microsofts approach to addressing the climate crisis starts with the sustainability of our own business.,microsofts approach addressing climate crisis starts sustainability business,2022,MSFT
8,"In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystemsall by 2030.",made bold set commitments carbon negative water positive zero waste company protects ecosystemsall,2022,MSFT
9,"Three years into this journey, we remain steadfast in our commitment.",journey remain steadfast commitment,2022,MSFT
10,"2022 was a reminder that to mitigate the most severe impacts of climate change, our commitments need to extend beyond our four walls, and we must continue to accelerate investments that will enable progress for decades to come.",reminder mitigate severe impacts climate change commitments need extend beyond four walls must continue accelerate investments enable progress come,2022,MSFT
11,"In 2022 we launched Microsoft Cloud for Sustainability, a comprehensive suite of enterprisegrade sustainability management tools.",launched cloud sustainability comprehensive suite enterprisegrade sustainability management tools,2022,MSFT
12,We also helped to advance a set of global sustainability initiatives that aim to benefit every person and organization on the planet.,also helped advance set global sustainability initiatives aim benefit every person organization planet,2022,MSFT
13,"These include accelerating the availability of new climate technologies through our Climate Innovation Fund, strengthening our climate policy agenda, helping to develop a more reliable and interoperable carbon accounting system, advocating for skilling programs to expand the green workforce, and working to enable a just transition for the vulnerable populations of the global south.",include accelerating availability new climate technologies climate innovation fund strengthening climate policy agenda helping develop reliable interoperable carbon accounting system advocating skilling programs expand green workforce working enable transition vulnerable populations global south,2022,MSFT
14,"We believe that Microsoft has an important role to play in developing and advancing new climate solutions, but also recognize that the climate crisis cant be solved by any single company, organization, or government.",believe important role play developing advancing new climate solutions also recognize climate crisis ca nt solved single company organization government,2022,MSFT
15,"The global community needs partnerships, new innovations, policies, and global commitment to ensure a healthy future for all.",global community needs partnerships new innovations policies global commitment ensure healthy future,2022,MSFT
16,"A closer look at 2022 Getting our own house in order Microsofts own sustainability is our first sphere of influence, and we remain focused on getting our own house in order and delivering on our 2030 commitments.",closer look getting house order microsofts sustainability first sphere influence remain focused getting house order delivering commitments,2022,MSFT
17,We made ambitious commitments in 2020 and we knew that progress would not always be linear.,made ambitious commitments knew progress would always linear,2022,MSFT
