,Text,is_long,ESG_Category
14376,"Historically, this category has included emissions from commercial air travel only.",False,Environmental
4634,"We benefited from the sponsorship of Rich Lesser, the Global Chair of BCG, and two leaders inside BCG who have repeatedly provided indispensable help to me and my team at Microsoft, Derek Kennedy and Simon Bamberger.",False,General
5412,"Direct Air Capture (DAC) technology startup Heirloom announced today that it has raised $53 million in a Series A funding round, one of the largest private financings in direct air capture to date.",False,Environmental
812,"IT teams implementing HCI in a Windows Server deployment can also deploy guarded fabrics and shielded virtual machines (V Ms) to protect workloads against theft, inspection, tampering and other risks.",False,General
19801,helps broaden students access to technology by making affordable and reliable software available to qualifying governments that purchase P Cs for students to use at school and at home.,False,General
17893,Microsofts Climate Change Policy Statement recognizes that climate change is a serious challenge that requires a comprehensive and global response from all sectors of society.,False,Environmental
6491,"In the 2023 release wave 2, Microsoft Cloud for Retail will include investments in retail workforce management, address customer feedback, and improve the Store Operations Assist and Smart Store Analytics features.",False,General
1215,We’re a signatory to the UN Global Compact and we issue our annual communication on progress.,False,Social
12871,"Microsoft's environmental data reporting covers global wholly owned and partially owned subsidiaries over which Microsoft has management and operational control, including Microsoft owned and leased real estate facilities and datacenters.",False,Environmental
2812,"Netflix , Tesla and Nvidia are all hot tech stocks outside the big five, and China's Alibaba and Baidu aren't in the S&P 500 because they're not domiciled in the U. S. Acheychek recommends a basket called FANG+, which combines those five names with the big five stocks and gives each a 10% weighting.",False,General
5800,"We’re training over 100,000 Central American workers in the next three years, helping them to learn the soft, technical, and digital skills that will enable them to gain access to higherpaying local jobs.",False,Social
18542,"To date, weve trained nearly 11 million teachers and school leaders, and reached approximately 207 million students in 119 countries.",False,General
13822,"After decommissioning, we move towards a diversified approach, ensuring that assets are dispositioned to optimize value, security, compliance, and sustainability.",False,Environmental
13177,Linked Ins new campus in Omaha features an onsite solar array over the parking structure.,False,Environmental
18615,"Development Lifecycle practices at the inaugural Security Development Conference in Washington, D. C., which attracted more than 240 attendees from 115 global organizations.",False,General
19115,"Each year, a survey measures employee satisfaction with the training provided.",False,Social
640,Many companies are missing a key opportunity to engage an overlooked and important stakeholder in sustainability: investors.,False,Social
6206,KPMG International entities provide no services to clients.,False,General
4160,Changes Microsoft made in December removed enduser names to collect only aggregate data.,False,General
13099,"The scientific reality of climate change is more accepted than ever beforeto avert the worst effects of the rapidly changing climate, the world needs to transition to a net zero carbon emissions economy by 2050.",False,Environmental
9667,"Sustainability Manager enables organizations to record, report, and reduce their Scope 1, 2, and 3 emissions.",False,Environmental
4489,I’m excited that Melanie Nakagawa will help lead so many talented people across our company as we address the planet’s sustainability needs.,False,Environmental
17653,Goal: Working with community partners to support the evolution of hackathons and communitydriven solutions for good.,False,General
803,"Line View's solutions have been installed around the globe, pinpointing the genuine reason for productivity loss across companies such as Coca Cola, AB In Bev, Accolade Wines, Danone, Diageo, Pepsi Co and others.",False,General
11905,"More than 95 percent of our Scope 2 emissions were reduced by renewable energy from power purchase agreements (PP As), green tariff programs, and unbundled renewable energy certificates.",False,Environmental
5018,"And our growing, global ecosystem of partners is helping customers unlock new value by extending Microsoft Cloud for Sustainability with dedicated solutions, like those just announced by Mc Kinsey.",False,Environmental
17126,"In 2015 these awards included a Supplier Diversity Award, Bring the Opportunity Divide Leadership Award, Impact Sourcing Leadership Award, and Climate Performance Leadership Award.",False,Social
6503,"During this wave, Microsoft Cloud for Sustainability will invest in:Value chain visibility Data integration and calculations System expansion and enhancement Reporting, disclosure, and automated insights In the 2023 release wave 2, we are also adding more reporting capabilities for the European Union’s CSRD and AI capabilities to provide whatif analyses and other insights.",False,Environmental
7468,Professional services firm KPMG has announced a global collaboration with Microsoft (NASDAQ: MSFT) to use its artificial intelligence (AI) tools to improve its internal processes.,False,General
4101,Microsoft 365 storage space varies widely from one subscription plan to the next and limits also vary by data type.,False,General
18781,"Office 365 is an online services offering of Microsoft Office, Exchange, Share Point, and Lync.$19.08FY2010$22.19FY2011ENTERTAINMENT AND DEVICES Xbox 360 gaming and entertainment console Kinect for Xbox 360 Xbox 360 video games Xbox 360 accessories Xbox LIVE Microsoft Mediaroom Windows Phone$6.17FY2010$8.91FY2011WINDOWS AND WINDOWS LIVE Windows 7 and prior versions of the Windows operating system Windows Live suite of applications and web services Microsoft PC hardware products$19.49FY2010$19.03FY2011",False,General
17958,This category may be underor overreported by as much as 50 percent.,False,General
21044,"And for communication, we relied entirely on telephones or the mail.",False,General
15994,We successfully challenged an effort by the U. S. government to use search warrants unilaterally to reach beyond U. S. borders.,False,General
15700,Microsoft Devices: Social and Environmental Accountability Report See key results of our Social and Environmental Accountability (SEA) audits and assessments.,False,Social
13322,This included educational webinars and oneonone meetings with suppliers to dive into their individual footprints and discuss relevant reduction levers.,False,Environmental
10671,"In another indication that the antiESG campaign is running out of steam, last fall the state’s leading utility, Georgia Power, announced that it is expanding its plans for solar power and energy storage projects, as part of a strategy to saftisfy the “record scale and velocity” of demand for electricity by new businesses coming into the state.",False,Environmental
7528,"With democratised access to data, organisations are recognising data as an asset class — and leveraging analytical and predictive power to use this data for good.",False,General
13327,"We have successfully demonstrated takeback/buyback models with our original asset suppliers, closing the loop on assets and enabling suppliers to repurpose or reuse assets and components, resulting in significant sustainability outcomes for emissions reduction and material recovery.",False,Environmental
3847,You can replay the webcast as well as view the prepared remarks and supplementary slide deck on the Microsoft Investor Relations website following the call.,False,General
7606,"Microsoft injects AI in sustainability data, ESG reporting - S Dx Central",False,Social
8394,"The tech giant also hired most of Inflection’s employees, including the chief scientist Karén Simonyan.",False,General
9348,Video 4.,False,General
20582,"about Microsofts active involvement in legal issues, whether specific to Microsoft or more generally applicable to the software industry, is available at www.microsoft.com/about/legal/.",False,General
7680,This can further help you discover avenues to increase waste recycling for specific waste sources and reduce offsite waste disposal through landfills and incineration.,False,Environmental
17930,"Despite its increased nextgeneration computing power and functionality, the Xbox One launch version uses less power than the launch version of the Xbox 360 did (although more than the latest Xbox 360 version).",False,General
2202,"You should not place undue reliance on forwardlooking statements because they involve known and unknown risks, uncertainties and other factors that are, in some cases, beyond MSCI’s control and that could materially affect actual results, levels of activity, performance or achievements.",False,General
4149,"Former Energy Secretary Brouillette on Foiling Infrastructure Cyberattacks The federal government should optimize information sharing through publicprivate forums to ensure infrastructure operators are ready for cyberattacks, according to Brouillette.",False,General
10326,"And maybe Melanie, you can start us off on this one.",False,General
11813,"In 2022, we also released a preview version of the Microsoft Planetary Computer to enable customers to measure, monitor, and subsequently to manage ecosystems that may be affected by their operations, and to make important decisions related to climate risk.",False,Environmental
14928,"This semiannual report provides information about the legal demands for customer data we receive from law enforcement agencies around the world, as well as our responses to them.",False,General
12039,"In FY22, we signed new power purchase agreements around the globe, bringing our total portfolio of PP As for carbonfree energy to over 13.5 GW.",False,Environmental
13851,"To reach these goals, Microsoft and Linked In are refining RF Is for vendors, standardizing waste tracking and reporting, and establishing a decommissioning partner to ensure that our used furniture and materials are reused.",False,Environmental
2687,We will encourage national governments to prioritize these critical investments in the months and years ahead.,False,General
9527,"“They’re showing us if and how robust board diversity is within that company,” Augustine said.",False,Social
408,An Introduction to Doing Business in India 2015 (Second Edition)Doing Business in India 2015 introduces the fundamentals of investing in India.,False,General
20306,"In Asia, Microsoft employees volunteer their time and expertise to help organizations build capacity and improve performance.",False,Social
6760,"But just 17% of those targets “align with 1.5° C goal of the Paris Agreement,” the tracker notes, and only 30% set a goal of net zero.",False,Environmental
14111,"A change detection map assesses the coastal hazards on urban infrastructure and population, including the impact of seawater intrusion on agricultural and food production in the north of Qatar.",False,Environmental
1527,It comes with only a 0.10% expense ratio.,False,General
16326,"Learn more about our datacenter energy usage Today, large operators like Microsoft consume as much energy as small states, and by the middle of the next decade, they will rank among the largest users of electrical power on the planet.",False,Environmental
5863,Addressing new CSRD regulations Emerging regulations such as the pending Corporate Sustainability Reporting Directive (CSRD) will require large organizations and their suppliers and trading partners doing business within the European Union to be more detailed in their sustainability reporting.,False,Environmental
5216,"With the new announcement of the tool’s general availability, Microsoft said that it will also add new capabilities to Cloud for Sustainability, and integrate it with Sustainability Manager, a new extensible solution unifying data intelligence, and offering organizations an increasingly automated view into the emissions impact of their entire operations and value chain.",False,Environmental
11388,The department that handles the data will then obtain a detailed report in a full stack view that they are able to generate a list of calculationfree data with analysis.,False,General
10264,Think concrete.,False,General
3295,Microsoft also is seeking to replenish more water than it uses and protect more land than it uses.,False,Environmental
10666,"“We as freedom loving states can work together and leverage our state pension funds to force change in how major asset managers invest the money of hardworking Americans, ensuring corporations are focused on maximizing shareholder value, rather than the proliferation of woke ideology,” the letter adds.",False,General
6977,"The firm is the global market share leader in this category with a wide array of products and services, including dish and laundry washing systems, pest control, and infection control products.",False,General
6132,"Africa data lab In November, we announced an expansion of our AI for Good Lab into Egypt and Kenya, building a new team of data scientists on the ground in Africa that will work to improve climate resilience.",False,Environmental
11365,Working together to accelerate progress toward a more sustainable world It will take all of us working together to drive the changes needed to ensure the future of the planet.,False,Environmental
2266,"We are also launching an initiative to use Microsoft technology to help our suppliers and customers around the world reduce their own carbon footprints and a new $1 billion climate innovation fund to accelerate the global development of carbon reduction, capture, and removal technologies.",False,Environmental
13267,"Mass timber: At our Silicon Valley campus, we are using mass timber, resulting in the largest mass timber building in the United States.",False,General
15625,Applying technology for environmental and social good Accessibility Climate change and energy Data privacy and security Empowering communities Ethical business practices Human capital Human rights Responsible sourcing and lifecycle impacts,False,Social
4618,"The first step is to understand impact, and the Emissions Impact Dashboard can help measure emissions related to Microsoft cloud services.",False,Environmental
11093,Storage Services Azure provides advanced storage features that cater to complex enterprise needs.,False,General
11136,"Announced by Satish Thomas, Corporate Vice President of Microsoft Industry Clouds, this initiative is designed to equip organizations with the essential tools to accelerate their sustainability journeys amidst a backdrop where urgent action is increasingly paramount.",False,Environmental
14059,"The Planetary Computer consists of four major components: The Data Catalog, which includes more than",False,General
3165,Maybe the addressable market is expanding faster than Microsoft’s revenues are growing.,False,General
12476,Helping customers and partners optimize Azure workloads Microsoft developed new technical guidance in partnership with the GSF to help customers and partners with optimizing Azure workloads with the Well Architected Framework (WAF).,False,General
10332,We are seeing how the use of AI can really accelerate rapidly the discovery of alternative materials to high carbon materials such as cement.,False,Environmental
6188,This integration also opens up new market opportunities for KPMG professionals and their clients.,False,General
19194,"Our commitments include the way we operate our company, our efforts to create opportunities through our technology offerings, the application of our research and development investments, and the power of our partnerships.",False,General
369,The Smart Cities initiative aims to create cities where basic infrastructure is built on a sustainable model.,False,Environmental
7944,This show features a series of quick demos that highlight what’s new and demonstrate how Sustainability Manager can help you achieve your sustainability goals.,False,Environmental
15286,Responsible sourcing Get more detailed information on the policies and programs related to our commitment to responsible sourcing.,False,Social
15449,"We work to reduce our impact within our operations, create sustainable products and devices, innovate with our partners to solve environmental challenges with technology, and drive policies that help create a more sustainable future.",False,Environmental
12240,"This includes looking at ways we can ensure our replenishment investments support disadvantaged communities, as well as the potential unintended consequences of projects that could cause harm to disadvantaged communities in the locations where we operate.",False,Social
16642,"Spring Our corporate governance cycle begins with reviewing governance best practices, regulatory developments, and our own policies and practices.",False,Governance
12293,IDARS is an endtoend system that identifies the most sustainable disposition path for every part at any point in its lifecycle across the supply chain.,False,Environmental
19038,Adopting a Freedom of Expression Policy: In FY2011 we adopted a companywide Freedom of Expression policy to guide how we handle decisions about restricting or not restricting content.,False,Social
12555,"These reductions resulted from 12 suppliers switching to renewable energy, with six converting to 100 percent renewable energy.",False,Environmental
9882,"The company’s solution targets capturing carbon through largescale reforestation of degraded, unproductive pastureland with native tree species and assisted natural regeneration, with cobenefits including reversing biodiversity loss, improving watershed assets and generating employment and social impact in local communities.",False,Environmental
44,"Speaking at the launch of Botswana's Information Communication Technology (ICT) projects in Gaborone, Botswana Post chairman, Martin Makgatlhe, told the nation that the parastatal planned to transform Botswana Post into a competitive company through the use of technology.",False,General
18273,"reinforce our highperforming culture while adjusting our approach to performance and rewards, as needed, in response to employee feedback and evolving business needs",False,General
17116,Responsibility reports that include metrics drawn from the Global Reporting Initiative.,False,Social
15758,"Were investing in partnerships with telecommunications companies to bring broadband connectivity to two million people in rural America, increase digital skills training in rural communities, and catalyze investments by sharing technologies weve developed.",False,General
16294,"These include Skype Translator and Microsoft Translator, a cloudbased automatic translator that supports over 50 languages for text translation.",False,General
1063,"Enter KVM So considering v Sphere's massive ecosystem and mature features, why would KVM even be on people's minds?",False,General
17546,Measures of success for recruiters within our talent and recruiting organizations include meeting representation goals.,False,Social
10382,New sustainability reporting requirements are already on the way.,False,Environmental
15260,"In 2018, we set out to understand more about why girls lose interest in STEM and what we can do about it.",False,Social
11418,"We view our goals through four key lenses: supporting economic growth, sustainability, trust and protecting fundamental rights, but ESG is also so broad.",False,Social
6075,"In 2022, we launched Microsoft Cloud for Sustainability, a comprehensive suite of enterprisegrade sustainability management tools.",False,Environmental
11553,"During the past year, Microsoft and Boston Consulting Group (BCG) studied the work of 15 companies at the forefront of sustainability innovation and change – including across Microsoft itself.",False,Environmental
4007,"Columbia, Dick’s Sporting Goods, Hylo Athletics, Athleta, Hummel and Vaude join Nike and Patagonia as representatives from the retail and apparel sectors, while Ball Corp., Footprint, Beko, Xylem and Best Water Technology (BWT) feature alongside Microsoft and T Mobile in the technology category.",False,Environmental
3725,"However, there’s going to be a leadup time to building up the scale for new, circular models.",False,Environmental
12605,Microsoft starts by designing and engineering our devices to be more energy efficient and then uses software to further reduce emissions that may result from device usage.,False,Environmental
3733,she said.,False,General
5128,"Conflict theory identifies the inequality in the distribution of the world’s resources as the source of many environmental problems, as well as the role of multinational corporations in resource extraction and the unequal accumulation of wealth as a result.",False,Environmental
16931,"To help inform the public debate about the best ways to balance privacy and security and in keeping with our longstanding commitment to transparency, we publish a semiannual Law Enforcement Requests Report and clearly outline our welldocumented practices for responding to government demands for customer data.",False,General
3115,"It has long had the support of data center giants, and products developed under its auspices are starting to touch every part of the data center.",False,General
13258,We are now using the EC3 tool around the world in both our campuses and our datacenters to track and reduce embodied carbon and have found opportunities to reduce concrete and steel embodied carbon by 30 to 60 percent in our datacenters.5,False,Environmental
16738,"Weve already started this integration with companywide employee events such as our annual Hackathon, customer feedback loops, our focus on usage in the engineering teams, and in our performance management practices.",False,General
14719,"In New Zealand, with less than 3% of New Zealand residents speaking te reo Mori, Microsoft collaborated with indigenous Mori communities to help preserve and revitalize their language for future generations through Microsofts Neural Machine Translation (NMT) techniques and advanced machine learning.",False,General
10927,"Second, the tool measures transition risk impact across key metrics such as probability of default, rating migrations, and capital adequacy ratio.",False,General
14498,Thats why were committed to working across the public and private sectors to foster partnerships and solutions that will have lasting impact and redefine what achieve more means for the world.,False,General
4720,"Third, the world must prepare the next generation of workers for the sustainability jobs of the future.",False,Social
19929,"Hong Kong: Refurbishing Student P Cs Despite the affluence of the general population in Hong Kong, more than 1 million people live in poverty.",False,General
16091,"DSC also operates the DSC Environmental Management System (EMS), a crosscompany, ISO 14001 certified environmental management system that applies to all aspects of Microsofts hardware and packaging manufacturing supply chain, management and operations.",False,Environmental
2168,"""[Augmented reality] is going to have a major contender who's already fully committed to being an open platform, meaning that every developer is going to be highly confident in Microsoft as a trusting and trustworthy partner in everything they do,"" says Sweeney.",False,General
16852,"Started in 2009 by a Microsoft employee who developed and ran the program in his spare time, TEALS was embraced and adopted by Microsoft in 2011.",False,General
13678,"We are taking these lessons learned, new approaches, and innovative partnerships and bringing them to our global customer base, where we believe we can have a transformative impact.",False,General
2325,"And we believe this is true not only for ourselves, but for every business and organization on the planet.",False,Social
20532,"When employees volunteer their time in the community, Microsoft donates $17 per hour to the eligible organizations they serve.",False,Social
10352,"And part of that blueprint was recognizing that as this technology moves forward, it's just as important to make sure that we have proper control over AI as it is to make sure that we are realizing its benefits.",False,General
7026,"Rightfully so, as business leaders now recognize the need to prioritize people and the planet ahead of profits, as evidenced in tech e Commerce retailer MPB’s Impact Report.",False,Social
11612,This must be supported by expanded learning initiatives to reach employees in companies and more broadly across the workforce.,False,Social
4057,"Alphabet (GOOGL), Amazon (AMZN), Apple (AAPL) and Microsoft (MSFT) are lagging behind a majority of their peers mostly due to governancerelated concerns, the ratings data show.",False,Governance
4520,"This includes more effectively managing their environmental footprint, embedding sustainability through their organizations and value chains, and making strategic business investments that drive value.",False,Environmental
1227,We’ll have to wait and see whether [our] approach works in this age of limited attention.,False,General
14990,*Those ILO principles are freedom of association and the effective recognition of the right to collective bargaining; elimination of all forms of forced or compulsory labor; effective abolition of child labor; and elimination of discrimination in respect of employment and occupation.,False,Social
16401,"We report on our water use, risk, and governance annually through CDP.",False,Environmental
3492,"For example, it could be used for commodity sourcing or land management.",False,General
5833,"The launch comes as KPMG builds out its suite of digital tools, as well as its ES Gfocused solution offerings, and as it expands its alliance with Microsoft.",False,Social
7462,"Using cloud platforms and AI, we can get far greater intelligence, and use this to drive better decisions, and cut costs and risk.”Historically, PwC’s release suggests contract management was “a burdensome and disjointed process leading to siloed and inaccessible data”.",False,General
4671,"These will need to combine knowledge from STEM and other fields in the liberal arts and encompass skills that span across business, the use of data, and digital technology.",False,General
16369,"As of 2016, roughly 44 percent of the electricity used by our datacenters comes from wind, solar, and hydropower energy sources.",False,Environmental
1393,"Plus, you can create up to 64 volumes, each with a maximum size of 64 TB, doubling the capacities supported by its predecessor.",False,General
18041,Fiscal year 2013 was a pivotal year for Microsoft in every sense of the word and that was reflected in our citizenship work.,False,Social
9587,Sign up for Bloomberg Technology’s weekly Q&AI newsletter.,False,General
6735,"“We want to—and do—use our voice to advocate for the policies that we think the world needs.”So far, so sensible.",False,General
12284,Our Amsterdam Circular Center model achieved reuse and recycle of 82 percent of all decommissioned assets in FY22.,False,General
7811,Stay close to our sustainability industry blog for announcements.,False,Social
20787,"After the request for suspension was denied by the European Court of First Instance in December 2004, Microsofts focus turned toward full and complete compliance.",False,General
2053,"So, part of her team's work involves showcasing applications in fields like healthcare and manufacturing that will demonstrate a positive role for AI.",False,General
20502,"In answer to worldwide concerns over avian influenza, also known as bird flu, Lisa Brummel, Senior Vice President, Human Resources, established a crosscompany global team dedicated to raising employee awareness and developing preparedness and response plans.",False,General
4779,"But we are committed to fulfilling our pledges and consistently communicating what we’re learning along the way at events like Sustainable Brands 2022 (SB ‘22), VERGE 22, and the 27th Conference of the Parties (COP27).",False,Environmental
